total_timesteps,explained_variance,fps,nupdates,policy_entropy,value_loss,ep_reward_mean,ep_len_mean
1216000,0.9389982484281063,1129,15200,1.7880916595458984,0.013138855807483196,-20.42,915.13
1224000,0.813615083694458,1130,15300,1.7885128259658813,0.025765350088477135,-20.37,921.13
1232000,0.9454614035785198,1130,15400,1.7876771688461304,0.01971534825861454,-20.38,918.62
1240000,0.9197080954909325,1131,15500,1.788377046585083,0.02183319628238678,-20.36,925.36
1248000,0.8683753162622452,1132,15600,1.7891130447387695,0.015707502141594887,-20.32,935.62
1256000,0.893850065767765,1115,15700,1.7877899408340454,0.023254644125699997,-20.34,936.78
1264000,0.8166738897562027,1115,15800,1.7794406414031982,0.029984701424837112,-20.29,938.92
1272000,0.8568213433027267,1116,15900,1.7886040210723877,0.016397707164287567,-20.26,937.38
1280000,0.7952875643968582,1117,16000,1.7867729663848877,0.030971044674515724,-20.16,942.07
1288000,0.9483029134571552,1117,16100,1.7863668203353882,0.010949849151074886,-20.16,941.0
1296000,0.9639363288879395,1118,16200,1.7883307933807373,0.013611686415970325,-20.15,942.26
1304000,0.9809029176831245,1118,16300,1.7844356298446655,0.005305111408233643,-20.1,949.69
1312000,0.9468633010983467,1119,16400,1.7854526042938232,0.011406448669731617,-20.14,944.5
1320000,0.9694454204291105,1119,16500,1.7834641933441162,0.011667235754430294,-20.13,942.86
1328000,0.8367452621459961,1120,16600,1.7851345539093018,0.03747490048408508,-20.12,946.2
1336000,0.9148037284612656,1120,16700,1.7838289737701416,0.014335242100059986,-20.07,947.21
1344000,0.8002200275659561,1121,16800,1.7780532836914062,0.015957053750753403,-20.04,942.8
1352000,0.8417293578386307,1121,16900,1.7832553386688232,0.045449383556842804,-20.03,940.88
1360000,0.8820684552192688,1122,17000,1.7840969562530518,0.011887261644005775,-20.01,943.16
1368000,0.9335837885737419,1122,17100,1.784722089767456,0.016277853399515152,-20.05,940.9
1376000,0.9146297797560692,1123,17200,1.7848536968231201,0.01766034960746765,-20.1,941.85
1384000,0.9370798245072365,1123,17300,1.7851892709732056,0.01575588807463646,-20.09,940.72
1392000,0.9600522965192795,1123,17400,1.7822717428207397,0.011945342645049095,-20.1,940.66
1400000,0.9180881679058075,1124,17500,1.784045934677124,0.014584235846996307,-20.1,942.88
1408000,0.921571396291256,1124,17600,1.7716634273529053,0.02653648890554905,-20.03,948.3
1416000,0.8142103254795074,1125,17700,1.7768367528915405,0.03005167283117771,-20.09,946.31
1424000,0.9718819614499807,1125,17800,1.782415747642517,0.009061330929398537,-20.1,944.05
1432000,0.9353833720088005,1126,17900,1.7808746099472046,0.007549573667347431,-20.17,934.87
1440000,0.9822378624230623,1126,18000,1.7768213748931885,0.006083844695240259,-20.18,938.16
1448000,0.9161972627043724,1126,18100,1.7763391733169556,0.012688945047557354,-20.17,937.69
1456000,0.9230382591485977,1127,18200,1.7848001718521118,0.013622919097542763,-20.24,934.83
1464000,0.7775250375270844,1127,18300,1.7659094333648682,0.030228769406676292,-20.2,941.91
1472000,0.7444706559181213,1127,18400,1.7791668176651,0.029682371765375137,-20.23,940.67
1480000,0.9804146699607372,1128,18500,1.7806155681610107,0.010319866240024567,-20.18,944.33
1488000,0.8415164947509766,1128,18600,1.7853078842163086,0.02083016186952591,-20.2,940.22
1496000,0.9137611910700798,1129,18700,1.7851829528808594,0.02427881397306919,-20.2,940.38
1504000,0.8531345129013062,1113,18800,1.7862221002578735,0.013361142948269844,-20.24,934.86
1512000,0.9459420554339886,1114,18900,1.7876484394073486,0.010064562782645226,-20.22,933.72
1520000,0.9706872496753931,1115,19000,1.7852205038070679,0.005434299819171429,-20.21,936.61
