total_timesteps,fps,policy_entropy,approxkl,clipfrac,value_loss,explained_variance,time_elapsed,serial_timesteps,policy_loss,n_updates,ep_len_mean,ep_reward_mean
4711424,1001,1.3288262,7.641012e-06,0.11328125,0.0006492507,0.9864406744018197,5033.766236782074,588928,-0.00061505876,4601,1664.03,20.9
4712448,1055,1.376178,1.0769246e-05,0.16674805,0.0005911527,0.9884828832000494,5034.790194749832,589056,-0.0007552209,4602,1663.98,20.9
4713472,1099,1.3355895,1.288462e-05,0.17822266,0.0007637289,0.9840129017829895,5035.7622423172,589184,-0.00070685946,4603,1664.01,20.9
4714496,985,1.3671409,1.0284533e-05,0.1875,0.00040083576,0.9905490018427372,5036.695694446564,589312,-0.00070247945,4604,1664.01,20.9
4715520,1114,1.3893112,1.3903582e-05,0.2043457,0.0004092874,0.9901814376935363,5037.7371690273285,589440,-0.00072325044,4605,1664.01,20.9
4716544,1176,1.380174,8.403441e-06,0.12451172,0.0004736117,0.9881524909287691,5038.657420635223,589568,-0.00068744353,4606,1664.01,20.9
4717568,1055,1.3682925,1.08241475e-05,0.1784668,0.00047054378,0.9909028504043818,5039.5294671058655,589696,-0.000771683,4607,1664.0,20.9
4718592,1157,1.3571131,1.2172267e-05,0.18530273,0.0005737853,0.985886407084763,5040.502164840698,589824,-0.0006891436,4608,1664.0,20.9
4719616,1138,1.3926282,1.1633667e-05,0.1940918,0.0004321072,0.9911034908145666,5041.387977838516,589952,-0.00072800694,4609,1664.08,20.9
4720640,1185,1.4009184,1.6779255e-05,0.20922852,0.014710662,0.7941256165504456,5042.28896689415,590080,-0.00038328,4610,1664.08,20.9
4721664,1078,1.397232,1.5492215e-05,0.23461914,0.0008746682,0.9843302350491285,5043.154364824295,590208,-0.000627498,4611,1664.08,20.9
4722688,976,1.3529383,8.60146e-06,0.13891602,0.0006927113,0.9843240566551685,5044.105182886124,590336,-0.00073410256,4612,1663.59,20.91
4723712,1066,1.389805,1.1574342e-05,0.18457031,0.0009937078,0.9820013158023357,5045.155806064606,590464,-0.00066867954,4613,1663.61,20.91
4724736,1006,1.3282835,9.205046e-06,0.13696289,0.0006891339,0.9845902044326067,5046.11830997467,590592,-0.0005952245,4614,1663.62,20.91
