serial_timesteps,policy_entropy,n_updates,time_elapsed,fps,clipfrac,value_loss,total_timesteps,approxkl,explained_variance,policy_loss,ep_reward_mean,ep_len_mean
609152,1.318087,4759,5817.667973041534,972,0.16918945,0.00638428,4873216,2.7987037e-06,0.8878124803304672,-0.0002818933,20.67,2693.77
609280,1.2735959,4760,5818.723041057587,1027,0.20141602,0.0017103122,4874240,2.4791982e-06,0.9548798501491547,-0.00032775308,20.67,2693.77
609408,1.2992954,4761,5819.721997976303,950,0.22998047,0.001445669,4875264,3.2984672e-06,0.9686404019594193,-0.00019185265,20.67,2693.77
609536,1.3011982,4762,5820.801492929459,1019,0.19995117,0.00092492363,4876288,2.644034e-06,0.9763986133038998,-0.00025481297,20.67,2693.77
609664,1.2952381,4763,5821.807006597519,1004,0.14672852,0.011998512,4877312,2.7750948e-06,0.7700248658657074,-0.000202197,20.67,2693.77
609792,1.2638643,4764,5822.827556371689,978,0.1796875,0.0012620554,4878336,2.4660594e-06,0.9699842650443316,-0.00028328816,20.67,2693.77
609920,1.3036218,4765,5823.876714229584,955,0.19238281,0.0013675998,4879360,2.3311268e-06,0.9675229825079441,-0.0002759805,20.67,2693.77
610048,1.3271854,4766,5824.950864076614,1111,0.17456055,0.0015819554,4880384,2.0921207e-06,0.9692084137350321,-0.00030360057,20.67,2693.77
610176,1.2478921,4767,5825.87448143959,879,0.19140625,0.0013555768,4881408,2.6278326e-06,0.9682455137372017,-0.00031358405,20.66,2694.51
610304,1.3357017,4768,5827.041815519333,887,0.19482422,0.0011943375,4882432,2.2445263e-06,0.9722345098853111,-0.00027837066,20.65,2690.14
610432,1.2499412,4769,5828.197064638138,903,0.2043457,0.0014103435,4883456,2.6360447e-06,0.9643812477588654,-0.0002562086,20.65,2695.29
610560,1.3112562,4770,5829.332690000534,890,0.18920898,0.001594826,4884480,2.006716e-06,0.964700274169445,-0.00026694493,20.65,2695.29
610688,1.3117815,4771,5830.484851360321,905,0.21850586,0.012280874,4885504,3.965833e-06,0.823131188750267,-0.00023326336,20.65,2695.29
610816,1.2735223,4772,5831.61723446846,841,0.15771484,0.003941041,4886528,2.0783361e-06,0.9050350785255432,-0.00025488436,20.65,2703.11
610944,1.2605252,4773,5832.835563421249,976,0.23144531,0.0012775504,4887552,2.996365e-06,0.9731171689927578,-0.0002948116,20.65,2703.11
611072,1.302873,4774,5833.886199712753,929,0.1616211,0.0011464795,4888576,1.6480361e-06,0.9773693829774857,-0.00027166863,20.65,2703.06
611200,1.2808262,4775,5834.990813493729,890,0.20361328,0.0012359844,4889600,2.165633e-06,0.971243878826499,-0.0003138394,20.65,2705.39
611328,1.2769494,4776,5836.143102169037,864,0.20532227,0.0011227466,4890624,2.8792683e-06,0.9739664308726788,-0.00026460475,20.64,2698.17
611456,1.2974688,4777,5837.329586982727,883,0.2163086,0.0013816453,4891648,2.0951252e-06,0.9714798349887133,-0.0002529305,20.64,2693.67
611584,1.2856268,4778,5838.4910135269165,932,0.14404297,0.0011090391,4892672,1.3397827e-06,0.9751740917563438,-0.00026271286,20.64,2693.67
611712,1.293657,4779,5839.590854883194,965,0.21923828,0.00069412374,4893696,2.2544846e-06,0.9847229914739728,-0.00026986015,20.64,2693.67
