fps,serial_timesteps,explained_variance,value_loss,approxkl,policy_loss,policy_entropy,time_elapsed,clipfrac,total_timesteps,n_updates,ep_len_mean,ep_reward_mean
884,123392,0.4869692325592041,0.041550785,0.0019285275,-0.004292452,1.2125386,1137.3749067783356,0.14990234,987136,964,2447.06,-9.28
956,123520,0.5439386963844299,0.039269168,0.0017651122,-0.0034227665,1.2180741,1138.5345356464386,0.15478516,988160,965,2459.77,-9.14
918,123648,0.6548393666744232,0.032469805,0.0025325958,-0.004656098,1.2669191,1139.6083943843842,0.18188477,989184,966,2460.09,-9.14
1053,123776,0.7547605484724045,0.0203747,0.0015316308,-0.0066613303,1.2935176,1140.726071357727,0.1171875,990208,967,2460.09,-9.14
930,123904,0.5251305401325226,0.033081576,0.0014987848,-0.005650451,1.247178,1141.7007322311401,0.11279297,991232,968,2455.25,-9.19
953,124032,0.6582744717597961,0.030805547,0.001775763,-0.006370216,1.2856199,1142.8034060001373,0.15478516,992256,969,2464.26,-9.12
941,124160,0.6444756388664246,0.026847381,0.0019357591,-0.006979853,1.2710323,1143.88001871109,0.15185547,993280,970,2478.47,-8.95
1018,124288,0.5228952765464783,0.044948358,0.0019880107,-0.0040632063,1.2246745,1144.9701788425446,0.14379883,994304,971,2478.47,-8.95
1064,124416,0.5662108063697815,0.036148157,0.0015068003,-0.0058822557,1.2371298,1145.977035522461,0.13110352,995328,972,2478.47,-8.95
1025,124544,0.6039128601551056,0.027190143,0.0016386915,-0.0056458893,1.3149291,1146.9404604434967,0.12548828,996352,973,2474.3,-8.99
907,124672,0.5463853478431702,0.03447251,0.0016374456,-0.0060920455,1.2522241,1147.9415183067322,0.1352539,997376,974,2474.3,-8.99
858,124800,0.3562183976173401,0.053092636,0.001674684,-0.0060246047,1.278224,1149.07199883461,0.12768555,998400,975,2478.39,-8.92
961,124928,0.433563768863678,0.037698213,0.0022474744,-0.0066668675,1.2861084,1150.2668483257294,0.18603516,999424,976,2478.39,-8.92
