fps,serial_timesteps,n_updates,value_loss,policy_loss,explained_variance,policy_entropy,clipfrac,total_timesteps,time_elapsed,approxkl,ep_len_mean,ep_reward_mean
1163,178944,1398,0.022061743,-0.0052710325,0.7412586808204651,1.4308691,0.17675781,1431552,1554.1849994659424,0.0015479424,2486.62,7.05
1187,179072,1399,0.017045666,-0.0046952046,0.7617223858833313,1.4568616,0.1430664,1432576,1555.0678582191467,0.0012671887,2486.62,7.05
1180,179200,1400,0.017652275,-0.004596442,0.741494208574295,1.4247012,0.17358398,1433600,1555.9325091838837,0.0016579262,2486.62,7.05
1148,179328,1401,0.031323627,-0.006197935,0.7296349108219147,1.4071639,0.14575195,1434624,1556.8020906448364,0.0015412301,2480.51,7.13
1158,179456,1402,0.018750425,-0.005603158,0.7780277281999588,1.4587936,0.17260742,1435648,1557.6961278915405,0.0014561571,2480.51,7.13
989,179584,1403,0.013162341,-0.006357446,0.8079523891210556,1.4318961,0.14282227,1436672,1558.582379579544,0.0014156984,2480.51,7.13
852,179712,1404,0.018130545,-0.0037308717,0.8292459100484848,1.4264042,0.1875,1437696,1559.618308544159,0.0019435623,2475.39,7.36
1107,179840,1405,0.014346677,-0.007442789,0.8860816583037376,1.4264729,0.19458008,1438720,1560.8223543167114,0.0023435338,2475.39,7.36
1195,179968,1406,0.02435422,-0.004222802,0.7403944432735443,1.4419906,0.12890625,1439744,1561.747939825058,0.0012626873,2475.39,7.36
959,180096,1407,0.024908492,-0.006283333,0.7738607078790665,1.4211955,0.15698242,1440768,1562.6058399677277,0.0014260891,2475.39,7.36
840,180224,1408,0.02061405,-0.0046460424,0.7924401015043259,1.3752925,0.0871582,1441792,1563.6752064228058,0.0012630486,2462.52,7.5
1071,180352,1409,0.016505994,-0.005168624,0.8588008880615234,1.4121013,0.15649414,1442816,1564.8950474262238,0.0016098273,2456.63,7.59
1148,180480,1410,0.015576737,-0.0074715433,0.8175721317529678,1.4120731,0.1821289,1443840,1565.85262465477,0.0017205223,2461.71,7.74
1178,180608,1411,0.022872804,-0.0049250796,0.7475103139877319,1.3877261,0.12524414,1444864,1566.7463402748108,0.0012418563,2461.71,7.74
1159,180736,1412,0.01638265,-0.0073437146,0.8450513184070587,1.4246625,0.14916992,1445888,1567.6165916919708,0.0012840066,2461.71,7.74
1230,180864,1413,0.0207653,-0.0055840425,0.7481215000152588,1.405296,0.13696289,1446912,1568.5010895729065,0.0013487441,2461.71,7.74
1047,180992,1414,0.0150599815,-0.005882998,0.8268731087446213,1.4177784,0.12939453,1447936,1569.3352391719818,0.0013182819,2461.71,7.74
998,181120,1415,0.018829249,-0.0059593776,0.8560895919799805,1.3991735,0.17553711,1448960,1570.3151445388794,0.0022594607,2455.85,7.87
1116,181248,1416,0.010805596,-0.00605572,0.8562043458223343,1.3866856,0.1652832,1449984,1571.34273147583,0.0014552976,2455.85,7.87
1109,181376,1417,0.014136587,-0.004638857,0.8051018714904785,1.4409571,0.13500977,1451008,1572.2620196342468,0.0013240022,2456.09,8.01
1166,181504,1418,0.022076648,-0.001816941,0.8409644216299057,1.3649324,0.15942383,1452032,1573.1865901947021,0.0015239732,2449.74,8.09
1162,181632,1419,0.009841274,-0.005865018,0.8478010892868042,1.4099727,0.15039062,1453056,1574.0658807754517,0.0012004212,2449.74,8.09
1140,181760,1420,0.016726406,-0.0053682397,0.6934755444526672,1.4603958,0.118652344,1454080,1574.9480574131012,0.0013611226,2449.74,8.09
1042,181888,1421,0.023049528,-0.004993955,0.8015125393867493,1.4066558,0.18066406,1455104,1575.8468928337097,0.0017936261,2439.38,8.32
1099,182016,1422,0.020057311,-0.0055884314,0.8396736532449722,1.4102485,0.14819336,1456128,1576.8313117027283,0.0012658226,2439.38,8.32
1120,182144,1423,0.023718543,-0.0038378786,0.7669994384050369,1.4280992,0.16088867,1457152,1577.764126777649,0.0015554042,2439.38,8.32
1172,182272,1424,0.01700079,-0.0058909375,0.7855608016252518,1.4281008,0.18334961,1458176,1578.680186033249,0.0016216,2439.38,8.32
991,182400,1425,0.016210642,-0.004802983,0.8914249911904335,1.4070977,0.17993164,1459200,1579.5550045967102,0.0016158893,2443.81,8.49
1161,182528,1426,0.01784956,-0.0064519774,0.8247522562742233,1.4496386,0.14404297,1460224,1580.589115858078,0.0012678269,2443.81,8.49
1178,182656,1427,0.018317377,-0.0042414423,0.7930483371019363,1.3963486,0.13452148,1461248,1581.4724633693695,0.0013927828,2443.81,8.49
