policy_entropy,nupdates,total_timesteps,explained_variance,value_loss,fps,ep_reward_mean,ep_len_mean
1.786614179611206,24300,1944000,0.9290679171681404,0.016331855207681656,1187,-20.1,963.59
1.7817500829696655,24400,1952000,0.9190862029790878,0.009485614486038685,1188,-20.18,957.43
1.7850936651229858,24500,1960000,0.9448748417198658,0.01074256468564272,1188,-20.26,955.55
1.7766485214233398,24600,1968000,0.7704947590827942,0.038090839982032776,1188,-20.26,954.44
1.7835893630981445,24700,1976000,0.9638708829879761,0.014943905174732208,1189,-20.27,959.11
1.7859379053115845,24800,1984000,0.8831221163272858,0.01952333003282547,1189,-20.35,949.84
1.7842670679092407,24900,1992000,0.935465581715107,0.014119605533778667,1189,-20.34,948.91
1.7856824398040771,25000,2000000,0.9031637534499168,0.013894078321754932,1190,-20.31,954.37
1.784224510192871,25100,2008000,0.8685643076896667,0.03659144416451454,1179,-20.26,957.73
1.7855325937271118,25200,2016000,0.8348154276609421,0.03178700804710388,1180,-20.21,959.92
1.78273606300354,25300,2024000,0.9276659190654755,0.0124059421941638,1180,-20.16,964.33
1.7827422618865967,25400,2032000,0.9308239221572876,0.010375489480793476,1181,-20.17,965.22
1.7857452630996704,25500,2040000,0.8085556030273438,0.05131187289953232,1181,-20.18,958.26
1.7812753915786743,25600,2048000,0.9370771497488022,0.013478738255798817,1181,-20.16,961.88
1.7823669910430908,25700,2056000,0.87881138920784,0.009932191111147404,1182,-20.14,965.58
1.7819818258285522,25800,2064000,0.9104748889803886,0.014722166582942009,1182,-20.13,965.88
1.779671311378479,25900,2072000,0.9080257639288902,0.018520744517445564,1182,-20.11,972.54
1.780900001525879,26000,2080000,0.915430948138237,0.018935877829790115,1182,-20.04,981.5
1.7836086750030518,26100,2088000,0.944788321852684,0.011749531142413616,1183,-20.03,983.25
1.778602957725525,26200,2096000,0.8337750285863876,0.015690933912992477,1183,-20.06,982.2
1.7800830602645874,26300,2104000,0.9023968577384949,0.029953625053167343,1184,-20.05,983.08
1.7794106006622314,26400,2112000,0.8855952769517899,0.02177250385284424,1184,-20.05,984.08
1.7744147777557373,26500,2120000,0.7904719710350037,0.03203750029206276,1184,-20.02,990.44
1.7761825323104858,26600,2128000,0.9022117480635643,0.01858692616224289,1184,-19.96,996.35
1.7775249481201172,26700,2136000,0.9305551424622536,0.01912165991961956,1185,-19.97,996.51
1.782809853553772,26800,2144000,0.8388529121875763,0.024411093443632126,1185,-19.94,1001.84
1.7845560312271118,26900,2152000,0.8578056693077087,0.015004316344857216,1185,-19.84,1010.78
1.7789777517318726,27000,2160000,0.878055565059185,0.03185708448290825,1186,-19.74,1016.75
1.7773557901382446,27100,2168000,0.9067906960844994,0.01320805586874485,1186,-19.77,1019.46
1.7790218591690063,27200,2176000,0.9700029101222754,0.011428827419877052,1186,-19.74,1017.69
1.780480146408081,27300,2184000,0.9321098253130913,0.008890052326023579,1186,-19.73,1015.54
1.7785651683807373,27400,2192000,0.9538697004318237,0.011705833487212658,1187,-19.69,1019.29
1.7855443954467773,27500,2200000,0.923740804195404,0.017211448401212692,1187,-19.69,1022.09
1.781507134437561,27600,2208000,0.9588720090687275,0.00949450396001339,1187,-19.67,1025.63
1.782994031906128,27700,2216000,0.885863184928894,0.015710819512605667,1187,-19.69,1028.26
1.7767722606658936,27800,2224000,0.9605110809206963,0.007494664750993252,1188,-19.68,1026.85
1.771150827407837,27900,2232000,0.8453126698732376,0.018287524580955505,1188,-19.66,1032.57
1.7792682647705078,28000,2240000,0.9610780440270901,0.00796970259398222,1188,-19.67,1036.8
1.776812195777893,28100,2248000,0.8908752351999283,0.018073832616209984,1188,-19.64,1039.32
1.7812896966934204,28200,2256000,0.871075451374054,0.017682993784546852,1176,-19.67,1032.65
1.773777723312378,28300,2264000,0.9117817506194115,0.015846259891986847,1176,-19.66,1038.31
1.7776129245758057,28400,2272000,0.8268074691295624,0.017132382839918137,1177,-19.67,1034.76
1.7798702716827393,28500,2280000,0.8783115744590759,0.01730913296341896,1177,-19.64,1037.85
1.7770488262176514,28600,2288000,0.6672303974628448,0.047053202986717224,1178,-19.58,1044.18
1.7732105255126953,28700,2296000,0.9201698005199432,0.013388278894126415,1178,-19.62,1037.43
1.781456708908081,28800,2304000,0.9495918229222298,0.010013146325945854,1178,-19.56,1035.06
1.785251259803772,28900,2312000,0.8144826143980026,0.010422374121844769,1179,-19.57,1036.21
1.7818453311920166,29000,2320000,0.878513939678669,0.01933739334344864,1179,-19.5,1042.79
1.7661142349243164,29100,2328000,0.8123401403427124,0.026738012209534645,1179,-19.51,1046.8
1.778843641281128,29200,2336000,0.47442787885665894,0.03940007835626602,1180,-19.53,1046.89
1.7779242992401123,29300,2344000,0.9408411830663681,0.013558367267251015,1180,-19.47,1052.38
1.7640098333358765,29400,2352000,0.9592785201966763,0.007982644252479076,1180,-19.4,1058.76
1.7696373462677002,29500,2360000,0.8691038638353348,0.022767703980207443,1180,-19.4,1060.09
1.7749990224838257,29600,2368000,0.9450831860303879,0.011138500645756721,1181,-19.44,1056.2
1.7616949081420898,29700,2376000,0.6361336708068848,0.04708067327737808,1181,-19.46,1055.01
1.7803106307983398,29800,2384000,0.9011636078357697,0.016596440225839615,1181,-19.42,1065.13
1.7651100158691406,29900,2392000,0.9453556537628174,0.009506653994321823,1182,-19.39,1065.36
1.7699353694915771,30000,2400000,0.9020088091492653,0.016611885279417038,1182,-19.37,1068.67
1.7712242603302002,30100,2408000,0.6234011948108673,0.02880461886525154,1182,-19.37,1075.84
1.7696211338043213,30200,2416000,0.8644541651010513,0.029988979920744896,1182,-19.36,1083.79
1.7563987970352173,30300,2424000,0.9569386690855026,0.006784680299460888,1182,-19.35,1085.7
1.768485426902771,30400,2432000,0.85341677069664,0.014326239936053753,1182,-19.39,1089.79
1.7566989660263062,30500,2440000,0.8716490864753723,0.014594952575862408,1183,-19.34,1090.04
1.7774322032928467,30600,2448000,0.8710860013961792,0.0405840203166008,1183,-19.31,1089.08
1.7666839361190796,30700,2456000,0.8129546642303467,0.03794468939304352,1183,-19.37,1083.26
1.7378528118133545,30800,2464000,0.7303861379623413,0.025648241862654686,1184,-19.4,1079.52
1.7646678686141968,30900,2472000,0.6778176128864288,0.08793957531452179,1184,-19.35,1082.23
1.758996605873108,31000,2480000,0.8333957940340042,0.0351296067237854,1184,-19.32,1088.48
1.7714303731918335,31100,2488000,0.9439278244972229,0.009891313500702381,1185,-19.3,1083.98
1.7646576166152954,31200,2496000,0.8261436969041824,0.03353480249643326,1185,-19.37,1081.64
1.7676801681518555,31300,2504000,0.876453347504139,0.011501649394631386,1175,-19.41,1079.49
1.7723385095596313,31400,2512000,0.9381893947720528,0.008732644841074944,1176,-19.45,1082.49
1.7645504474639893,31500,2520000,0.4171140193939209,0.02998911403119564,1176,-19.39,1088.1
1.7687275409698486,31600,2528000,0.8355396538972855,0.030826931819319725,1176,-19.37,1094.39
1.7734075784683228,31700,2536000,0.9002712368965149,0.01160212978720665,1177,-19.43,1090.67
1.7455034255981445,31800,2544000,0.9371693283319473,0.007981153205037117,1177,-19.45,1091.53
1.7749297618865967,31900,2552000,0.6882262527942657,0.029932990670204163,1177,-19.48,1088.4
1.7670179605484009,32000,2560000,0.8700601160526276,0.03202494978904724,1178,-19.51,1085.67
1.741591215133667,32100,2568000,0.8666766434907913,0.023039476945996284,1178,-19.56,1082.55
1.7508909702301025,32200,2576000,0.8553000092506409,0.018521225079894066,1178,-19.51,1088.48
